,showcase_1,showcase_2,bid_1,bid_2,diff_1,diff_2,estimated_bid1,estimated_diff1,estimated_bid2,estimated_diff2
151,33480.0,24984.0,37444.40775894975,18200.0,3964.4077589497465,-6784.0,29250.0,-4230.0,19650.0,-5334.0
152,28714.0,22407.0,23994.64180183017,24500.0,-4719.35819816983,2093.0,20450.0,-8264.0,21950.0,-457.0
153,36803.0,37746.0,33863.82527162631,35000.0,-2939.1747283736913,-2746.0,26950.0,-9853.0,26550.0,-11196.0
154,24281.0,30764.0,33327.21112903868,22000.0,9046.211129038682,-8764.0,26600.0,2319.0,20900.0,-9864.0
155,23841.0,21255.0,28874.513044376265,18605.0,5033.513044376265,-2650.0,23200.0,-641.0,19700.0,-1555.0
156,33844.0,37125.0,31942.741743293245,31229.0,-1901.2582567067548,-5896.0,25450.0,-8394.0,24800.0,-12325.0
157,31809.0,23904.0,39361.53708765802,20000.0,7552.53708765802,-3904.0,30600.0,-1209.0,20100.0,-3804.0
158,28309.0,37776.0,28069.451120992933,34000.0,-239.54887900706672,-3776.0,22700.0,-5609.0,26150.0,-11626.0
159,27332.0,29317.0,29241.048588668975,28300.0,1909.0485886689748,-1017.0,23500.0,-3832.0,23400.0,-5917.0
160,28957.0,49419.0,26811.2648136804,38675.0,-2145.735186319602,-10744.0,22000.0,-6957.0,28550.0,-20869.0
161,54579.0,27712.0,44169.40032021812,18522.0,-10409.59967978188,-9190.0,33900.0,-20679.0,19700.0,-8012.0
162,28649.0,31352.0,24021.400239715033,33500.0,-4627.5997602849675,2148.0,20550.0,-8099.0,25900.0,-5452.0
163,26854.0,34808.0,30899.52129575231,22000.0,4045.521295752311,-12808.0,24750.0,-2104.0,20900.0,-13908.0
164,20962.0,33302.0,25058.017162418546,26262.0,4096.017162418546,-7040.0,21100.0,138.0,22650.0,-10652.0
165,38787.0,30317.0,29413.901311930662,24500.0,-9373.098688069338,-5817.0,23650.0,-15137.0,21900.0,-8417.0
166,26738.0,26784.0,27285.079876474694,23000.0,547.0798764746942,-3784.0,22300.0,-4438.0,21300.0,-5484.0
167,28958.0,25612.0,24766.750950314476,25000.0,-4191.249049685524,-612.0,20950.0,-8008.0,22150.0,-3462.0
168,28604.0,22438.0,32984.324290139055,22013.0,4380.324290139055,-425.0,26200.0,-2404.0,21000.0,-1438.0
169,25269.0,23548.0,25092.303311960353,18500.0,-176.6966880396467,-5048.0,21150.0,-4119.0,19700.0,-3848.0
170,30624.0,29445.0,29602.81280549909,28000.0,-1021.1871945009116,-1445.0,23900.0,-6724.0,23350.0,-6095.0
171,25366.0,26525.0,31840.353959843218,24050.0,6474.353959843218,-2475.0,25500.0,134.0,21700.0,-4825.0
172,31328.0,30571.0,30966.083809407544,31000.0,-361.9161905924557,429.0,24850.0,-6478.0,24750.0,-5821.0
173,36813.0,25755.0,49336.782306294546,31000.0,12523.782306294546,5245.0,39100.0,2287.0,24800.0,-955.0
174,31434.0,38715.0,32705.897703010894,32000.0,1271.8977030108945,-6715.0,26150.0,-5284.0,25200.0,-13515.0
175,30321.0,29281.0,28996.596174434835,30972.0,-1324.4038255651649,1691.0,23600.0,-6721.0,24750.0,-4531.0
176,36414.0,38505.0,39904.801084305414,28543.0,3490.8010843054144,-9962.0,30800.0,-5614.0,23700.0,-14805.0
177,34736.0,33612.0,36307.21119822863,38000.0,1571.2111982286297,4388.0,28550.0,-6186.0,28200.0,-5412.0
178,21707.0,25820.0,25360.143219230926,26000.0,3653.1432192309258,180.0,21450.0,-257.0,22650.0,-3170.0
179,38297.0,20344.0,37801.360244215524,22300.0,-495.6397557844757,1956.0,29600.0,-8697.0,21150.0,806.0
180,28996.0,25938.0,26900.789077423906,29972.0,-2095.210922576094,4034.0,22300.0,-6696.0,24350.0,-1588.0
181,27690.0,41765.0,18568.321489324975,36000.0,-9121.678510675025,-5765.0,18600.0,-9090.0,27250.0,-14515.0
182,29426.0,34304.0,41464.65992936042,30000.0,12038.659929360423,-4304.0,32100.0,2674.0,24350.0,-9954.0
183,21711.0,26277.0,14149.335941367346,24750.0,-7561.664058632654,-1527.0,17300.0,-4411.0,22050.0,-4227.0
184,29307.0,26617.0,44500.60452722084,28000.0,15193.604527220843,1383.0,34350.0,5043.0,23450.0,-3167.0
185,25263.0,32646.0,30540.059063679335,26800.0,5277.059063679335,-5846.0,24800.0,-463.0,22900.0,-9746.0
186,26993.0,33337.0,32512.691569294664,26888.0,5519.691569294664,-6449.0,26150.0,-843.0,23000.0,-10337.0
187,29390.0,26314.0,23300.57945078035,16000.0,-6089.420549219649,-10314.0,20450.0,-8940.0,19000.0,-7314.0
188,34920.0,31278.0,34997.57784996269,30022.0,77.57784996269038,-1256.0,27700.0,-7220.0,24400.0,-6878.0
189,30323.0,31285.0,40938.08553836931,21000.0,10615.085538369312,-10285.0,31650.0,1327.0,20700.0,-10585.0
190,46638.0,42319.0,41674.536148906685,33000.0,-4963.463851093315,-9319.0,32100.0,-14538.0,25850.0,-16469.0
191,40811.0,62485.0,43830.167569637946,40500.0,3019.167569637946,-21985.0,33800.0,-7011.0,29650.0,-32835.0
192,31259.0,32972.0,31474.33989511742,21000.0,215.33989511742038,-11972.0,25450.0,-5809.0,20750.0,-12222.0
193,41943.0,24755.0,40011.40161511346,22500.0,-1931.5983848865435,-2255.0,30950.0,-10993.0,21300.0,-3455.0
194,24946.0,34665.0,34177.267921872604,32000.0,9231.267921872604,-2665.0,27250.0,2304.0,25300.0,-9365.0
195,26257.0,48635.0,31789.24107549129,35000.0,5532.241075491289,-13635.0,25650.0,-607.0,26800.0,-21835.0
196,49928.0,42621.0,58229.584186378204,34000.0,8301.584186378204,-8621.0,49100.0,-828.0,26300.0,-16321.0
197,30744.0,22253.0,26377.69391551953,18000.0,-4366.306084480471,-4253.0,22100.0,-8644.0,19700.0,-2553.0
198,37671.0,24251.0,43312.569930086844,26000.0,5641.569930086844,1749.0,33600.0,-4071.0,22600.0,-1651.0
199,32255.0,45871.0,43684.74775656205,29000.0,11429.74775656205,-16871.0,34050.0,1795.0,23850.0,-22021.0
200,21983.0,31820.0,11692.956274914126,33000.0,-10290.043725085874,1180.0,16650.0,-5333.0,25700.0,-6120.0
201,40311.0,31399.0,40482.69793587609,29000.0,171.69793587608729,-2399.0,31350.0,-8961.0,23900.0,-7499.0
202,28573.0,33797.0,16298.837848835512,27000.0,-12274.162151164488,-6797.0,17900.0,-10673.0,23050.0,-10747.0
203,28510.0,37252.0,23508.4864950047,30500.0,-5001.513504995299,-6752.0,20600.0,-7910.0,24650.0,-12602.0
204,27341.0,30320.0,39624.78126682969,28000.0,12283.78126682969,-2320.0,30750.0,3409.0,23500.0,-6820.0
205,29393.0,19290.0,36816.92932124515,25000.0,7423.929321245152,5710.0,28850.0,-543.0,22250.0,2960.0
206,24379.0,32262.0,35266.38420803373,35000.0,10887.384208033727,2738.0,27850.0,3471.0,26900.0,-5362.0
207,24289.0,20545.0,23934.90480628531,31500.0,-354.09519371468923,10955.0,20850.0,-3439.0,25200.0,4655.0
208,32784.0,34727.0,42306.96308237293,29000.0,9522.963082372931,-5727.0,32800.0,16.0,23950.0,-10777.0
209,41995.0,22554.0,46604.570002508255,17500.0,4609.570002508255,-5054.0,36500.0,-5495.0,19350.0,-3204.0
210,39939.0,21969.0,28514.445228641263,27000.0,-11424.554771358737,5031.0,23450.0,-16489.0,23000.0,1031.0
211,46829.0,23624.0,45824.524871852285,24175.0,-1004.4751281477147,551.0,36000.0,-10829.0,21650.0,-1974.0
212,24413.0,38948.0,16664.476680833846,27528.0,-7748.523319166154,-11420.0,18100.0,-6313.0,23100.0,-15848.0
213,36607.0,29310.0,28254.41052716405,22000.0,-8352.589472835949,-7310.0,23250.0,-13357.0,20800.0,-8510.0
214,43902.0,43453.0,52889.19095454957,33001.0,8987.190954549573,-10452.0,45550.0,1648.0,25850.0,-17603.0
215,36820.0,27734.0,33596.693634502146,26000.0,-3223.306365497854,-1734.0,26750.0,-10070.0,22400.0,-5334.0
216,27575.0,30919.0,24192.13044020833,22548.0,-3382.8695597916703,-8371.0,20950.0,-6625.0,21050.0,-9869.0
217,24459.0,23309.0,14331.862822734405,17000.0,-10127.137177265595,-6309.0,17450.0,-7009.0,19150.0,-4159.0
218,31749.0,33824.0,37279.438469844354,15000.0,5530.438469844354,-18824.0,29150.0,-2599.0,18600.0,-15224.0
219,22466.0,35704.0,12139.694193174953,25044.0,-10326.305806825047,-10660.0,16850.0,-5616.0,22050.0,-13654.0
220,25809.0,40812.0,29206.13688785054,27000.0,3397.136887850538,-13812.0,23850.0,-1959.0,22900.0,-17912.0
221,35252.0,21261.0,40425.18146980991,17500.0,5173.1814698099115,-3761.0,31500.0,-3752.0,19350.0,-1911.0
222,58342.0,33968.0,56841.02489955212,31500.0,-1500.9751004478821,-2468.0,48000.0,-10342.0,25150.0,-8818.0
223,21981.0,25903.0,21992.861155772327,18000.0,11.861155772327038,-7903.0,19950.0,-2031.0,19450.0,-6453.0
